date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:11	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2022%20Dec%202020%2014:40:44%20GMT	https://www.tirupurexpress.com/robots.txt		(from )
12:18:12	41764/41764	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Jan%202024%2006:48:12%20GMT	https://www.tirupurexpress.com/	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/index.html	(from )
12:18:12	45400/45400	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Sep%202021%2007:15:32%20GMT	https://www.tirupurexpress.com/public/uploads/site_photos/57b9822606aa795498f7f4196b11a5b4.png	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/uploads/site_photos/57b9822606aa795498f7f4196b11a5b4.png	(from https://www.tirupurexpress.com/)
12:18:13	161409/161409	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Jan%202021%2015:47:54%20GMT	https://www.tirupurexpress.com/public/frontend/css/bootstrap.min.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/bootstrap.min.css	(from https://www.tirupurexpress.com/)
12:18:13	35973/35973	---M-Z	200	added ('OK')	text/css	date:Sun,%2004%20Oct%202020%2008:59:16%20GMT	https://www.tirupurexpress.com/public/frontend/css/jquery-ui.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/jquery-ui.css	(from https://www.tirupurexpress.com/)
12:18:13	52789/52789	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:00%20GMT	https://www.tirupurexpress.com/public/frontend/css/animate.min.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/animate.min.css	(from https://www.tirupurexpress.com/)
12:18:14	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:00%20GMT	https://www.tirupurexpress.com/public/frontend/css/magnific-popup.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/magnific-popup.css	(from https://www.tirupurexpress.com/)
12:18:14	3011/3011	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:56:58%20GMT	https://www.tirupurexpress.com/public/frontend/css/owl.carousel.min.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/owl.carousel.min.css	(from https://www.tirupurexpress.com/)
12:18:15	5222/5222	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:00%20GMT	https://www.tirupurexpress.com/public/frontend/css/dataTables.bootstrap4.min.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/dataTables.bootstrap4.min.css	(from https://www.tirupurexpress.com/)
12:18:15	15196/15196	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:02%20GMT	https://www.tirupurexpress.com/public/frontend/css/select2.min.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/select2.min.css	(from https://www.tirupurexpress.com/)
12:18:16	16792/16792	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:02%20GMT	https://www.tirupurexpress.com/public/frontend/css/select2-bootstrap.min.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/select2-bootstrap.min.css	(from https://www.tirupurexpress.com/)
12:18:17	7309/7309	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:00%20GMT	https://www.tirupurexpress.com/public/frontend/css/meanmenu.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/meanmenu.css	(from https://www.tirupurexpress.com/)
12:18:17	119289/119289	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Feb%202020%2002:57:04%20GMT	https://www.tirupurexpress.com/public/frontend/css/spacing.css	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/css/spacing.css	(from https://www.tirupurexpress.com/)
